,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,97087,15015,1546.55,52,0.35%,0,0.00%,,,
18-44,183183,42484,2319.21,297,0.70%,46,0.11%,,,
45-64,116628,21912,1878.79,659,3.01%,218,0.99%,,,
65-74,46724,5944,1272.15,540,9.08%,251,4.22%,,,
75+,31987,3990,1247.38,720,18.05%,513,12.86%,,,
,,,,,,,,,,
Females,244460,47453,1941.14,1132,2.39%,460,0.97%,,,
Males,231149,41171,1781.15,1133,2.75%,568,1.38%,,,
Unknown,N/A,721,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11737,1001,852.86,20,2.00%,7,0.70%,,,
Black,42291,7436,1758.29,276,3.71%,96,1.29%,,,
White,408000,64538,1581.81,1878,2.91%,886,1.37%,,,
Hawaiian/Pacific Islander,585,103,1760.68,5,4.85%,1,0.97%,,,
Other ,12996,4510,3470.30,39,0.86%,6,0.13%,,,
Unknown,N/A,11757,N/A,50,0.43%,32,0.27%,,,
,,,,,,,,,,
Hispanic,22336,3790,1696.81,93,2.45%,14,0.37%,,,
Non-Hispanic,453273,62334,1375.20,2055,3.30%,933,1.50%,,,
Unknown,N/A,23221,N/A,120,0.52%,81,0.35%,,,
,,,,,,,,,,
Total,"475,609",89345,1878.54,2268,2.54%,1028,1.15%,,,
