,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,12757,1313.98,47,0.37%,0,0.00%
18-44,183183,35149,1918.79,232,0.66%,35,0.10%
45-64,116628,18289,1568.15,464,2.54%,163,0.89%
65-74,46724,4964,1062.41,445,8.96%,203,4.09%
75+,31987,3347,1046.36,608,18.17%,440,13.15%
,,,,,,,
Females,244460,39486,1615.23,903,2.29%,375,0.95%
Males,231149,34382,1487.44,890,2.59%,466,1.36%
Unknown,N/A,638,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,781,665.42,17,2.18%,7,0.90%
Black,42291,6124,1448.06,224,3.66%,78,1.27%
White,408000,52736,1292.55,1485,2.82%,722,1.37%
Hawaiian/Pacific Islander,585,88,1504.27,4,4.55%,0,0.00%
Other ,12996,3616,2782.39,29,0.80%,5,0.14%
Unknown,N/A,11161,N/A,37,0.33%,29,0.26%
,,,,,,,
Hispanic,22336,3349,1499.37,82,2.45%,11,0.33%
Non-Hispanic,453273,50748,1119.59,1627,3.21%,762,1.50%
Unknown,N/A,20409,N/A,87,0.43%,68,0.33%
,,,,,,,
Total,"475,609",74506,1566.54,1796,2.41%,841,1.13%
