,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",667,68.89,7,1.05%,0,0.00%,,,
18-44,"173,546",3673,211.64,68,1.85%,5,0.14%,,,
45-64,"116,740",1479,126.69,97,6.56%,16,1.08%,,,
65-74,"40,633",344,84.66,34,9.88%,10,2.91%,,,
75+,"28,440",226,79.47,52,23.01%,25,11.06%,,,
,,,,,,,,,,
Females,242211,3157,130.34,130,4.12%,21,0.67%,,,
Males,228102,3047,133.58,128,4.20%,35,1.15%,,,
,,,,,,,,,,
Asian,11287,57,50.50,2,3.51%,0,0.00%,,,
Black,41858,759,181.33,56,7.38%,10,1.32%,,,
White,404469,4433,109.60,180,4.06%,37,0.83%,,,
Hawaiian/Pacific Islander,470,19,404.26,4,21.05%,0,0.00%,,,
Other ,12229,360,294.38,8,2.22%,2,0.56%,,,
Unknown,N/A,761,N/A,8,1.05%,7,0.92%,,,
,,,,,,,,,,
Hispanic,20694,942,455.20,45,4.78%,5,0.53%,,,
Non-Hispanic,449619,4568,101.60,206,4.51%,40,0.88%,,,
Unknown,N/A,879,N/A,7,0.80%,11,1.25%,,,
,,,,,,,,,,
Total,"470,313",6389,135.85,258,4.04%,56,0.88%,,,
