,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,10832,1115.70,35,0.32%,0,0.00%
18-44,183183,31732,1732.26,218,0.69%,21,0.07%
45-64,116628,16378,1404.29,434,2.65%,125,0.76%
65-74,46724,4446,951.55,388,8.73%,173,3.89%
75+,31987,3042,951.01,549,18.05%,410,13.48%
,,,,,,,
Females,244460,35171,1438.72,814,2.31%,322,0.92%
Males,231149,30677,1327.15,807,2.63%,407,1.33%
Unknown,N/A,582,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,713,607.48,16,2.24%,6,0.84%
Black,42291,5463,1291.76,201,3.68%,59,1.08%
White,408000,48012,1176.76,1341,2.79%,631,1.31%
Hawaiian/Pacific Islander,585,80,1367.52,4,5.00%,0,0.00%
Other ,12996,3027,2329.18,28,0.93%,5,0.17%
Unknown,N/A,9135,N/A,34,0.37%,28,0.31%
,,,,,,,
Hispanic,22336,3141,1406.25,77,2.45%,10,0.32%
Non-Hispanic,453273,46966,1036.15,1472,3.13%,656,1.40%
Unknown,N/A,16323,N/A,75,0.46%,63,0.39%
,,,,,,,
Total,"475,609",66430,1396.74,1624,2.44%,729,1.10%
