,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5309,548.30,23,0.43%,0,0.00%,,,
18-44,"173,546",22046,1270.33,160,0.73%,11,0.05%,,,
45-64,"116,740",11760,1007.37,318,2.70%,77,0.65%,,,
65-74,"40,633",3341,822.24,259,7.75%,121,3.62%,,,
75+,"28,440",2436,856.54,427,17.53%,304,12.48%,,,
,,,,,,,,,,
Females,242211,23746,980.38,607,2.56%,232,0.98%,,,
Males,228102,20779,910.95,577,2.78%,281,1.35%,,,
Unknown,N/A,367,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,470,416.41,12,2.55%,4,0.85%,,,
Black,41858,3276,782.65,128,3.91%,33,1.01%,,,
White,404469,33162,819.89,990,2.99%,425,1.28%,,,
Hawaiian/Pacific Islander,470,50,1063.83,4,8.00%,1,2.00%,,,
Other ,12229,1391,1137.46,19,1.37%,3,0.22%,,,
Unknown,N/A,6481,N/A,34,0.52%,47,0.73%,,,
,,,,,,,,,,
Hispanic,20694,2470,1193.58,66,2.67%,10,0.40%,,,
Non-Hispanic,449619,31917,709.87,1056,3.31%,439,1.38%,,,
Unknown,N/A,10505,N/A,65,0.62%,64,0.61%,,,
,,,,,,,,,,
Total,"470,313",44892,954.51,1187,2.64%,513,1.14%,,,
