,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",715,73.84,7,0.98%,0,0.00%,,,
18-44,"173,546",3974,228.99,74,1.86%,5,0.13%,,,
45-64,"116,740",1562,133.80,99,6.34%,16,1.02%,,,
65-74,"40,633",378,93.03,34,8.99%,12,3.17%,,,
75+,"28,440",247,86.85,52,21.05%,25,10.12%,,,
,,,,,,,,,,
Females,242211,3493,144.21,137,3.92%,21,0.60%,,,
Males,228102,3325,145.77,129,3.88%,37,1.11%,,,
,,,,,,,,,,
Asian,11287,66,58.47,2,3.03%,0,0.00%,,,
Black,41858,795,189.93,56,7.04%,10,1.26%,,,
White,404469,4753,117.51,188,3.96%,39,0.82%,,,
Hawaiian/Pacific Islander,470,20,425.53,4,20.00%,0,0.00%,,,
Other ,12229,362,296.02,8,2.21%,2,0.55%,,,
Unknown,N/A,880,N/A,8,0.91%,7,0.80%,,,
,,,,,,,,,,
Hispanic,20694,971,469.22,45,4.63%,5,0.51%,,,
Non-Hispanic,449619,4826,107.34,212,4.39%,42,0.87%,,,
Unknown,N/A,1079,N/A,7,0.65%,11,1.02%,,,
,,,,,,,,,,
Total,"470,313",6876,146.20,266,3.87%,58,0.84%,,,
