,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",788,81.38,9,1.14%,0,0.00%,,,
18-44,"173,546",4780,275.43,83,1.74%,5,0.10%,,,
45-64,"116,740",1664,142.54,104,6.25%,16,0.96%,,,
65-74,"40,633",419,103.12,40,9.55%,14,3.34%,,,
75+,"28,440",279,98.10,57,20.43%,29,10.39%,,,
,,,,,,,,,,
Females,242211,4103,169.40,152,3.70%,24,0.58%,,,
Males,228102,3776,165.54,141,3.73%,10,0.26%,,,
Unknown,N/A,51,N/A,0,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,83,73.54,2,2.41%,0,0.00%,,,
Black,41858,863,206.17,60,6.95%,10,1.16%,,,
White,404469,5602,138.50,211,3.77%,45,0.80%,,,
Hawaiian/Pacific Islander,470,23,489.36,4,17.39%,0,0.00%,,,
Other ,12229,391,319.73,9,2.30%,2,0.51%,,,
Unknown,N/A,968,N/A,7,0.72%,7,0.72%,,,
,,,,,,,,,,
Hispanic,20694,1037,501.11,45,4.34%,5,0.48%,,,
Non-Hispanic,449619,5743,127.73,239,4.16%,48,0.84%,,,
Unknown,N/A,1150,N/A,9,0.78%,11,0.96%,,,
,,,,,,,,,,
Total,"470,313",7930,168.61,293,3.69%,64,0.81%,,,
