,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1835,189.52,12,0.65%,0,0.00%,,,
18-44,"173,546",9547,550.11,121,1.27%,5,0.05%,,,
45-64,"116,740",4072,348.81,174,4.27%,24,0.59%,,,
65-74,"40,633",1102,271.21,95,8.62%,34,3.09%,,,
75+,"28,440",742,260.90,138,18.60%,77,10.38%,,,
,,,,,,,,,,
Females,242211,8996,371.41,275,3.06%,50,0.56%,,,
Males,228102,8162,357.82,263,3.22%,90,1.10%,,,
Unknown,N/A,140,N/A,1,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,183,162.13,4,2.19%,0,0.00%,,,
Black,41858,1410,336.85,85,6.03%,17,1.21%,,,
White,404469,12578,310.98,424,3.37%,111,0.88%,,,
Hawaiian/Pacific Islander,470,34,723.40,4,11.76%,0,0.00%,,,
Other ,12229,639,522.53,13,2.03%,2,0.31%,,,
Unknown,N/A,2454,N/A,10,0.41%,10,0.41%,,,
,,,,,,,,,,
Hispanic,20694,1419,685.71,49,3.45%,4,0.28%,,,
Non-Hispanic,449619,12757,283.73,479,3.75%,119,0.93%,,,
Unknown,N/A,3122,N/A,12,0.38%,17,0.54%,,,
,,,,,,,,,,
Total,"470,313",17298,367.80,540,3.12%,140,0.81%,,,
