,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",6272,647.76,28,0.45%,0,0.00%,,,
18-44,"173,546",25195,1451.78,186,0.74%,11,0.04%,,,
45-64,"116,740",13486,1155.22,386,2.86%,91,0.67%,,,
65-74,"40,633",3744,921.42,310,8.28%,144,3.85%,,,
75+,"28,440",2649,931.43,472,17.82%,381,14.38%,,,
,,,,,,,,,,
Females,242211,27167,1121.63,691,2.54%,287,1.06%,,,
Males,228102,23831,1044.75,687,2.88%,340,1.43%,,,
Unknown,N/A,348,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,632,559.94,14,2.22%,5,0.79%,,,
Black,41858,3861,922.40,158,4.09%,42,1.09%,,,
White,404469,39117,967.12,1153,2.95%,549,1.40%,,,
Hawaiian/Pacific Islander,470,63,1340.43,4,6.35%,0,0.00%,,,
Other ,12229,1759,1438.38,22,1.25%,3,0.17%,,,
Unknown,N/A,5914,N/A,31,0.52%,28,0.47%,,,
,,,,,,,,,,
Hispanic,20694,2753,1330.34,72,2.62%,6,0.22%,,,
Non-Hispanic,449619,39050,868.51,1252,3.21%,562,1.44%,,,
Unknown,N/A,9543,N/A,58,0.61%,59,0.62%,,,
,,,,,,,,,,
Total,"470,313",51346,1091.74,1382,2.69%,627,1.22%,,,
