,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,13996,1441.59,50,0.36%,0,0.00%
18-44,183183,37954,2071.92,273,0.72%,40,0.11%
45-64,116628,19873,1703.96,588,2.96%,196,0.99%
65-74,46724,5419,1159.79,502,9.26%,235,4.34%
75+,31987,3654,1142.34,673,18.42%,473,12.94%
,,,,,,,
Females,244460,42844,1752.60,1038,2.42%,420,0.98%
Males,231149,37345,1615.62,1044,2.80%,524,1.40%
Unknown,N/A,707,N/A,4,0.00%,0,0.00%
,,,,,,,
Asian,11737,854,727.61,19,2.22%,7,0.82%
Black,42291,6710,1586.63,254,3.79%,86,1.28%
White,408000,58724,1439.31,1727,2.94%,815,1.39%
Hawaiian/Pacific Islander,585,91,1555.56,4,4.40%,0,0.00%
Other ,12996,3973,3057.09,37,0.93%,6,0.15%
Unknown,N/A,10544,N/A,45,0.43%,30,0.28%
,,,,,,,
Hispanic,22336,3619,1620.25,90,2.49%,13,0.36%
Non-Hispanic,453273,58078,1281.30,1895,3.26%,855,1.47%
Unknown,N/A,19199,N/A,101,0.53%,76,0.40%
,,,,,,,
Total,"475,609",80896,1700.89,2086,2.58%,944,1.17%
