,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,14428,1486.09,50,0.35%,0,0.00%
18-44,183183,39272,2143.87,287,0.73%,43,0.11%
45-64,116628,20537,1760.90,636,3.10%,213,1.04%
65-74,46724,5598,1198.10,527,9.41%,241,4.31%
75+,31987,3769,1178.29,705,18.71%,502,13.32%
,,,,,,,
Females,244460,44314,1812.73,1102,2.49%,443,1.00%
Males,231149,38588,1669.40,1100,2.85%,556,1.44%
Unknown,N/A,702,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,905,771.07,20,2.21%,7,0.77%
Black,42291,6889,1628.95,268,3.89%,91,1.32%
White,408000,60870,1491.91,1825,3.00%,863,1.42%
Hawaiian/Pacific Islander,585,97,1658.12,5,5.15%,1,1.03%
Other ,12996,4141,3186.37,38,0.92%,6,0.14%
Unknown,N/A,10702,N/A,49,0.46%,31,0.29%
,,,,,,,
Hispanic,22336,3697,1655.18,92,2.49%,13,0.35%
Non-Hispanic,453273,60110,1326.13,2003,3.33%,906,1.51%
Unknown,N/A,19797,N/A,110,0.56%,80,0.40%
,,,,,,,
Total,"475,609",83604,1757.83,2205,2.64%,999,1.19%
