,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5545,572.68,25,0.45%,0,0.00%,,,
18-44,"173,546",22716,1308.93,165,0.73%,11,0.05%,,,
45-64,"116,740",12148,1040.60,330,2.72%,78,0.64%,,,
65-74,"40,633",3449,848.82,278,8.06%,127,3.68%,,,
75+,"28,440",2519,885.72,440,17.47%,314,12.47%,,,
,,,,,,,,,,
Females,242211,24526,1012.59,625,2.55%,238,0.97%,,,
Males,228102,21482,941.77,610,2.84%,292,1.36%,,,
Unknown,N/A,369,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,556,492.60,12,2.16%,4,0.72%,,,
Black,41858,3395,811.08,135,3.98%,33,0.97%,,,
White,404469,34527,853.64,1034,2.99%,442,1.28%,,,
Hawaiian/Pacific Islander,470,56,1191.49,4,7.14%,1,1.79%,,,
Other ,12229,1480,1210.24,20,1.35%,3,0.20%,,,
Unknown,N/A,6363,N/A,33,0.52%,47,0.74%,,,
,,,,,,,,,,
Hispanic,20694,2533,1224.03,69,2.72%,10,0.39%,,,
Non-Hispanic,449619,33546,746.10,1104,3.29%,455,1.36%,,,
Unknown,N/A,10298,N/A,65,0.63%,65,0.63%,,,
,,,,,,,,,,
Total,"470,313",46377,986.09,1238,2.67%,530,1.14%,,,
