,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,14198,1462.40,50,0.35%,0,0.00%
18-44,183183,38559,2104.94,281,0.73%,41,0.11%
45-64,116628,20195,1731.57,611,3.03%,204,1.01%
65-74,46724,5511,1179.48,511,9.27%,237,4.30%
75+,31987,3711,1160.16,690,18.59%,482,12.99%
,,,,,,,
Females,244460,43545,1781.27,1071,2.46%,429,0.99%
Males,231149,37932,1641.02,1069,2.82%,535,1.41%
Unknown,N/A,697,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,876,746.36,20,2.28%,7,0.80%
Black,42291,6801,1608.14,258,3.79%,88,1.29%
White,408000,59777,1465.12,1777,2.97%,832,1.39%
Hawaiian/Pacific Islander,585,93,1589.74,4,4.30%,0,0.00%
Other ,12996,4047,3114.04,37,0.91%,6,0.15%
Unknown,N/A,10580,N/A,47,0.44%,31,0.29%
,,,,,,,
Hispanic,22336,3666,1641.30,91,2.48%,13,0.35%
Non-Hispanic,453273,59125,1304.40,1948,3.29%,873,1.48%
Unknown,N/A,19383,N/A,104,0.54%,78,0.40%
,,,,,,,
Total,"475,609",82174,1727.76,2143,2.61%,964,1.17%
