,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",4917,507.82,22,0.45%,0,0.00%,,,
18-44,"173,546",21012,1210.75,153,0.73%,10,0.05%,,,
45-64,"116,740",11197,959.14,308,2.75%,70,0.63%,,,
65-74,"40,633",3182,783.11,245,7.70%,110,3.46%,,,
75+,"28,440",2332,819.97,402,17.24%,280,12.01%,,,
,,,,,,,,,,
Females,242211,22537,930.47,578,2.56%,216,0.96%,,,
Males,228102,19733,865.10,548,2.78%,254,1.29%,,,
Unknown,N/A,370,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,491,435.01,11,2.24%,3,0.61%,,,
Black,41858,3093,738.93,124,4.01%,32,1.03%,,,
White,404469,31314,774.20,939,3.00%,385,1.23%,,,
Hawaiian/Pacific Islander,470,50,1063.83,4,8.00%,1,2.00%,,,
Other ,12229,1319,1078.58,18,1.36%,3,0.23%,,,
Unknown,N/A,6373,N/A,34,0.53%,46,0.72%,,,
,,,,,,,,,,
Hispanic,20694,2371,1145.74,62,2.61%,9,0.38%,,,
Non-Hispanic,449619,29932,665.72,1009,3.37%,405,1.35%,,,
Unknown,N/A,10337,N/A,59,0.57%,56,0.54%,,,
,,,,,,,,,,
Total,"470,313",42640,906.63,1130,2.65%,470,1.10%,,,
