,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",3352,346.19,13,0.39%,0,0.00%,,,
18-44,"173,546",15284,880.69,132,0.86%,9,0.06%,,,
45-64,"116,740",7790,667.29,208,2.67%,33,0.42%,,,
65-74,"40,633",2170,534.05,134,6.18%,64,2.95%,,,
75+,"28,440",1485,522.15,221,14.88%,166,11.18%,,,
,,,,,,,,,,
Females,242211,15737,649.72,355,2.26%,108,0.69%,,,
Males,228102,14023,614.77,355,2.53%,164,1.17%,,,
Unknown,N/A,321,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,268,237.44,7,2.61%,1,0.37%,,,
Black,41858,2003,478.52,99,4.94%,24,1.20%,,,
White,404469,19571,483.87,570,2.91%,216,1.10%,,,
Hawaiian/Pacific Islander,470,40,851.06,4,10.00%,1,2.50%,,,
Other ,12229,903,738.41,14,1.55%,2,0.22%,,,
Unknown,N/A,7296,N/A,18,0.25%,28,0.38%,,,
,,,,,,,,,,
Hispanic,20694,1646,795.40,51,3.10%,8,0.49%,,,
Non-Hispanic,449619,17733,394.40,636,3.59%,230,1.30%,,,
Unknown,N/A,10702,N/A,25,0.23%,34,0.32%,,,
,,,,,,,,,,
Total,"470,313",30081,639.60,712,2.37%,272,0.90%,,,
