,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,
0-17,"96,826",6380,658.91,28,0.44%,0,0.00%,,
18-44,"173,546",25504,1469.58,189,0.74%,12,0.05%,,
45-64,"116,740",13655,1169.69,394,2.89%,96,0.70%,,
65-74,"40,633",3778,929.79,316,8.36%,144,3.81%,,
75+,"28,440",2663,936.36,478,17.95%,384,14.42%,,
,,,,,,,,,
Females,242211,27473,1134.26,700,2.55%,289,1.05%,,
Males,228102,24156,1059.00,701,2.90%,347,1.44%,,
Unknown,N/A,351,N/A,4,0.00%,0,0.00%,,
,,,,,,,,,
Asian,11287,635,562.59,14,2.20%,5,0.79%,,
Black,41858,3912,934.59,161,4.12%,43,1.10%,,
White,404469,39625,979.68,1172,2.96%,557,1.41%,,
Hawaiian/Pacific Islander,470,64,1361.70,4,6.25%,0,0.00%,,
Other ,12229,1788,1462.10,22,1.23%,3,0.17%,,
Unknown,N/A,5956,N/A,32,0.54%,28,0.47%,,
,,,,,,,,,
Hispanic,20694,2780,1343.38,72,2.59%,6,0.22%,,
Non-Hispanic,449619,39559,879.83,1274,3.22%,571,1.44%,,
Unknown,N/A,9641,N/A,59,0.61%,59,0.61%,,
,,,,,,,,,
Total,"470,313",51980,1105.22,1405,2.70%,636,1.22%,,
