,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,
0-17,"96,826",969,100.08,9,0.93%,0,0.00%,,
18-44,"173,546",5855,337.37,97,1.66%,5,0.09%,,
45-64,"116,740",1956,167.55,117,5.98%,17,0.87%,,
65-74,"40,633",505,124.28,50,9.90%,19,3.76%,,
75+,"28,440",321,112.87,66,20.56%,32,9.97%,,
,,,,,,,,,
Females,242211,4951,204.41,174,3.51%,26,0.53%,,
Males,228102,4600,201.66,165,3.59%,47,1.02%,,
Unknown,N/A,55,N/A,0,0.00%,0,0.00%,,
,,,,,,,,,
Asian,11287,117,103.66,2,1.71%,0,0.00%,,
Black,41858,973,232.45,70,7.19%,10,1.03%,,
White,404469,6973,172.40,246,3.53%,53,0.76%,,
Hawaiian/Pacific Islander,470,27,574.47,4,14.81%,0,0.00%,,
Other ,12229,442,361.44,9,2.04%,2,0.45%,,
Unknown,N/A,1074,N/A,8,0.74%,8,0.74%,,
,,,,,,,,,
Hispanic,20694,1139,550.40,46,4.04%,5,0.44%,,
Non-Hispanic,449619,7200,160.14,283,3.93%,56,0.78%,,
Unknown,N/A,1267,N/A,10,0.79%,12,0.95%,,
,,,,,,,,,
Total,"470,313",9606,204.25,339,3.53%,73,0.76%,,
