,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,
0-17,"96,826",6376,658.50,28,0.44%,0,0.00%,,
18-44,"173,546",25497,1469.18,189,0.74%,12,0.05%,,
45-64,"116,740",13646,1168.92,393,2.88%,95,0.70%,,
65-74,"40,633",3777,929.54,315,8.34%,144,3.81%,,
75+,"28,440",2662,936.01,478,17.96%,384,14.43%,,
,,,,,,,,,
Females,242211,27469,1134.09,699,2.54%,288,1.05%,,
Males,228102,24139,1058.25,700,2.90%,347,1.44%,,
Unknown,N/A,350,N/A,4,0.00%,0,0.00%,,
,,,,,,,,,
Asian,11287,635,562.59,14,2.20%,5,0.79%,,
Black,41858,3907,933.39,161,4.12%,43,1.10%,,
White,404469,39605,979.19,1170,2.95%,556,1.40%,,
Hawaiian/Pacific Islander,470,64,1361.70,4,6.25%,0,0.00%,,
Other ,12229,1787,1461.28,22,1.23%,3,0.17%,,
Unknown,N/A,5960,N/A,32,0.54%,28,0.47%,,
,,,,,,,,,
Hispanic,20694,2780,1343.38,72,2.59%,6,0.22%,,
Non-Hispanic,449619,39532,879.23,1272,3.22%,570,1.44%,,
Unknown,N/A,9646,N/A,59,0.61%,59,0.61%,,
,,,,,,,,,
Total,"470,313",51958,1104.75,1403,2.70%,635,1.22%,,
