,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1333,137.67,11,0.83%,0,0.00%,,,
18-44,"173,546",7275,419.20,109,1.50%,5,0.07%,,,
45-64,"116,740",2810,240.71,151,5.37%,21,0.75%,,,
65-74,"40,633",753,185.32,79,10.49%,24,3.19%,,,
75+,"28,440",461,162.10,92,19.96%,49,10.63%,,,
,,,,,,,,,,
Females,242211,6540,270.01,232,3.55%,37,0.57%,,,
Males,228102,6014,263.65,210,3.49%,62,1.03%,,,
Unknown,N/A,78,N/A,0,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,141,124.92,3,2.13%,0,0.00%,,,
Black,41858,1202,287.16,84,6.99%,15,1.25%,,,
White,404469,9412,232.70,330,3.51%,80,0.85%,,,
Hawaiian/Pacific Islander,470,30,638.30,4,13.33%,0,0.00%,,,
Other ,12229,505,412.95,13,2.57%,2,0.40%,,,
Unknown,N/A,1342,N/A,8,0.60%,2,0.15%,,,
,,,,,,,,,,
Hispanic,20694,1288,622.40,49,3.80%,4,0.31%,,,
Non-Hispanic,449619,9817,218.34,383,3.90%,88,0.90%,,,
Unknown,N/A,1527,N/A,10,0.65%,7,0.46%,,,
,,,,,,,,,,
Total,"470,313",12632,268.59,442,3.50%,99,0.78%,,,
