,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,9036,930.71,34,0.38%,0,0.00%
18-44,183183,29584,1615.00,211,0.71%,16,0.05%
45-64,116628,15404,1320.78,423,2.75%,119,0.77%
65-74,46724,4225,904.25,356,8.43%,164,3.88%
75+,31987,2917,911.93,520,17.83%,402,13.78%
,,,,,,,
Females,244460,32404,1325.53,774,2.39%,309,0.95%
Males,231149,28247,1222.03,767,2.72%,392,1.39%
Unknown,N/A,515,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,681,580.22,16,2.35%,6,0.88%
Black,42291,4972,1175.66,183,3.68%,53,1.07%
White,408000,45134,1106.23,1282,2.84%,609,1.35%
Hawaiian/Pacific Islander,585,77,1316.24,4,5.19%,0,0.00%
Other ,12996,2623,2018.31,27,1.03%,5,0.19%
Unknown,N/A,7679,N/A,32,0.42%,28,0.36%
,,,,,,,
Hispanic,22336,3016,1350.29,77,2.55%,10,0.33%
Non-Hispanic,453273,44561,983.09,1399,3.14%,630,1.41%
Unknown,N/A,13589,N/A,68,0.50%,61,0.45%
,,,,,,,
Total,"475,609",61166,1286.06,1544,2.52%,701,1.15%
