,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,97087,6858,706.38,30,0.44%,0,0.00%,,,
18-44,183183,26712,1458.21,203,0.76%,15,0.06%,,,
45-64,116628,14123,1210.94,412,2.92%,107,0.76%,,,
65-74,46724,3931,841.32,336,8.55%,151,3.84%,,,
75+,31987,2737,855.66,496,18.12%,391,14.29%,,,
,,,,,,,,,,
Females,244460,28725,1175.04,743,2.59%,298,1.04%,,,
Males,231149,25289,1094.06,731,2.89%,366,1.45%,,,
Unknown,N/A,347,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11737,639,544.43,15,2.35%,6,0.94%,,,
Black,42291,4223,998.56,173,4.10%,47,1.11%,,,
White,408000,41249,1011.00,1228,2.98%,579,1.40%,,,
Hawaiian/Pacific Islander,585,70,1196.58,4,5.71%,0,0.00%,,,
Other ,12996,1964,1511.23,26,1.32%,4,0.20%,,,
Unknown,N/A,6216,N/A,31,0.50%,28,0.45%,,,
,,,,,,,,,,
Hispanic,22336,2834,1268.80,76,2.68%,7,0.25%,,,
Non-Hispanic,453273,40860,901.44,1337,3.27%,597,1.46%,,,
Unknown,N/A,10667,N/A,64,0.60%,60,0.56%,,,
,,,,,,,,,,
Total,"475,609",54361,1142.98,1477,2.72%,664,1.22%,,,
