,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,14044,1446.54,50,0.36%,0,0.00%
18-44,183183,38088,2079.23,277,0.73%,41,0.11%
45-64,116628,19952,1710.74,597,2.99%,200,1.00%
65-74,46724,5435,1163.21,505,9.29%,236,4.34%
75+,31987,3665,1145.78,680,18.55%,474,12.93%
,,,,,,,
Females,244460,43007,1759.27,1054,2.45%,424,0.99%
Males,231149,37471,1621.08,1051,2.80%,527,1.41%
Unknown,N/A,706,N/A,4,0.00%,0,0.00%
,,,,,,,
Asian,11737,854,727.61,20,2.34%,7,0.82%
Black,42291,6729,1591.12,254,3.77%,87,1.29%
White,408000,58972,1445.39,1750,2.97%,821,1.39%
Hawaiian/Pacific Islander,585,91,1555.56,4,4.40%,0,0.00%
Other ,12996,3995,3074.02,36,0.90%,6,0.15%
Unknown,N/A,10543,N/A,45,0.43%,30,0.28%
,,,,,,,
Hispanic,22336,3626,1623.39,90,2.48%,13,0.36%
Non-Hispanic,453273,58390,1288.19,1917,3.28%,861,1.47%
Unknown,N/A,19168,N/A,102,0.53%,77,0.40%
,,,,,,,
Total,"475,609",81184,1706.95,2109,2.60%,951,1.17%
