,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,13332,1373.20,47,0.35%,0,0.00%
18-44,183183,36383,1986.16,248,0.68%,40,0.11%
45-64,116628,18964,1626.02,501,2.64%,175,0.92%
65-74,46724,5153,1102.86,473,9.18%,214,4.15%
75+,31987,3480,1087.94,631,18.13%,452,12.99%
,,,,,,,
Females,244460,40923,1674.02,949,2.32%,396,0.97%
Males,231149,35698,1544.37,948,2.66%,485,1.36%
Unknown,N/A,691,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,796,678.20,18,2.26%,7,0.88%
Black,42291,6474,1530.82,234,3.61%,82,1.27%
White,408000,55664,1364.31,1574,2.83%,758,1.36%
Hawaiian/Pacific Islander,585,90,1538.46,4,4.44%,0,0.00%
Other ,12996,3860,2970.14,33,0.85%,5,0.13%
Unknown,N/A,10428,N/A,37,0.35%,29,0.28%
,,,,,,,
Hispanic,22336,3478,1557.13,84,2.42%,11,0.32%
Non-Hispanic,453273,55015,1213.73,1729,3.14%,800,1.45%
Unknown,N/A,18819,N/A,87,0.46%,70,0.37%
,,,,,,,
Total,"475,609",77312,1625.54,1900,2.46%,881,1.14%
