,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",4006,413.73,18,0.45%,0,0.00%,,,
18-44,"173,546",17856,1028.89,140,0.78%,10,0.06%,,,
45-64,"116,740",9447,809.23,247,2.61%,49,0.52%,,,
65-74,"40,633",2657,653.90,175,6.59%,81,3.05%,,,
75+,"28,440",1877,659.99,277,14.76%,213,11.35%,,,
,,,,,,,,,,
Females,242211,18826,777.26,434,2.31%,149,0.79%,,,
Males,228102,16643,729.63,421,2.53%,204,1.23%,,,
Unknown,N/A,374,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,331,293.26,8,2.42%,2,0.60%,,,
Black,41858,2458,587.22,108,4.39%,28,1.14%,,,
White,404469,24776,612.56,697,2.81%,277,1.12%,,,
Hawaiian/Pacific Islander,470,43,914.89,4,9.30%,1,2.33%,,,
Other ,12229,1162,950.20,15,1.29%,3,0.26%,,,
Unknown,N/A,7073,N/A,25,0.35%,42,0.59%,,,
,,,,,,,,,,
Hispanic,20694,1869,903.16,57,3.05%,9,0.48%,,,
Non-Hispanic,449619,22723,505.38,761,3.35%,298,1.31%,,,
Unknown,N/A,11251,N/A,39,0.35%,46,0.41%,,,
,,,,,,,,,,
Total,"470,313",35843,762.11,857,2.39%,353,0.98%,,,
