,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",4393,453.70,23,0.52%,0,0.00%,,,
18-44,"173,546",19554,1126.73,147,0.75%,10,0.05%,,,
45-64,"116,740",10334,885.22,278,2.69%,57,0.55%,,,
65-74,"40,633",2909,715.92,216,7.43%,89,3.06%,,,
75+,"28,440",2135,750.70,346,16.21%,235,11.01%,,,
,,,,,,,,,,
Females,242211,20766,857.35,512,2.47%,165,0.79%,,,
Males,228102,18191,797.49,496,2.73%,226,1.24%,,,
Unknown,N/A,368,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,410,363.25,10,2.44%,3,0.73%,,,
Black,41858,2778,663.67,117,4.21%,28,1.01%,,,
White,404469,28330,700.42,833,2.94%,313,1.10%,,,
Hawaiian/Pacific Islander,470,43,914.89,4,9.30%,1,2.33%,,,
Other ,12229,1285,1050.78,18,1.40%,3,0.23%,,,
Unknown,N/A,6479,N/A,28,0.43%,43,0.66%,,,
,,,,,,,,,,
Hispanic,20694,2171,1049.10,61,2.81%,9,0.41%,,,
Non-Hispanic,449619,26591,591.41,899,3.38%,334,1.26%,,,
Unknown,N/A,10563,N/A,50,0.47%,48,0.45%,,,
,,,,,,,,,,
Total,"470,313",39325,836.15,1010,2.57%,391,0.99%,,,
