,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",6145,634.64,28,0.46%,0,0.00%,,,
18-44,"173,546",24764,1426.94,184,0.74%,11,0.04%,,,
45-64,"116,740",13280,1137.57,376,2.83%,91,0.69%,,,
65-74,"40,633",3706,912.07,306,8.26%,143,3.86%,,,
75+,"28,440",2634,926.16,466,17.69%,379,14.39%,,,
,,,,,,,,,,
Females,242211,26744,1104.16,681,2.55%,287,1.07%,,,
Males,228102,23441,1027.65,675,2.88%,337,1.44%,,,
Unknown,N/A,344,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,619,548.42,14,2.26%,5,0.81%,,,
Black,41858,3784,904.01,154,4.07%,42,1.11%,,,
White,404469,38528,952.56,1135,2.95%,546,1.42%,,,
Hawaiian/Pacific Islander,470,62,1319.15,4,6.45%,0,0.00%,,,
Other ,12229,1634,1336.17,22,1.35%,3,0.18%,,,
Unknown,N/A,5902,N/A,31,0.53%,28,0.47%,,,
,,,,,,,,,,
Hispanic,20694,2726,1317.29,72,2.64%,6,0.22%,,,
Non-Hispanic,449619,38373,853.46,1231,3.21%,559,1.46%,,,
Unknown,N/A,9430,N/A,57,0.60%,59,0.63%,,,
,,,,,,,,,,
Total,"470,313",50529,1074.37,1360,2.69%,624,1.23%,,,
