,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,22181,2284.65,72,0.32%,1,0.00%
18-44,183183,60069,3279.18,308,0.51%,61,0.10%
45-64,116628,31655,2714.19,717,2.27%,289,0.91%
65-74,46724,8576,1835.46,703,8.20%,332,3.87%
75+,31987,5718,1787.60,924,16.16%,687,12.01%
,,,,,,,
Females,244460,69126,2827.70,1361,1.97%,628,0.91%
Males,231149,58239,2519.54,1360,2.34%,742,1.27%
Unknown,N/A,834,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,1587,1352.13,22,1.39%,9,0.57%
Black,42291,10458,2472.87,332,3.17%,126,1.20%
White,408000,90407,2215.86,2264,2.50%,1189,1.32%
Hawaiian/Pacific Islander,585,143,2444.44,5,3.50%,1,0.70%
Other ,12996,8221,6325.79,48,0.58%,8,0.10%
Unknown,N/A,17383,N/A,53,0.30%,37,0.21%
,,,,,,,
Hispanic,22336,4661,2086.77,104,2.23%,21,0.45%
Non-Hispanic,453273,86657,1911.81,2486,2.87%,1251,1.44%
Unknown,N/A,36881,N/A,134,0.36%,98,0.27%
,,,,,,,
Total,"475,609",128199,2695.47,2724,2.12%,1370,1.07%
