,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5646,583.11,27,0.48%,0,0.00%,,,
18-44,"173,546",22992,1324.84,166,0.72%,11,0.05%,,,
45-64,"116,740",12340,1057.05,337,2.73%,79,0.64%,,,
65-74,"40,633",3504,862.35,282,8.05%,130,3.71%,,,
75+,"28,440",2553,897.68,449,17.59%,317,12.42%,,,
,,,,,,,,,,
Females,242211,24899,1027.99,640,2.57%,243,0.98%,,,
Males,228102,21763,954.09,617,2.84%,294,1.35%,,,
Unknown,N/A,373,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,565,500.58,13,2.30%,4,0.71%,,,
Black,41858,3467,828.28,141,4.07%,34,0.98%,,,
White,404469,35372,874.53,1051,2.97%,447,1.26%,,,
Hawaiian/Pacific Islander,470,57,1212.77,4,7.02%,1,1.75%,,,
Other ,12229,1518,1241.31,21,1.38%,3,0.20%,,,
Unknown,N/A,6056,N/A,31,0.51%,48,0.79%,,,
,,,,,,,,,,
Hispanic,20694,2561,1237.56,70,2.73%,10,0.39%,,,
Non-Hispanic,449619,34619,769.96,1138,3.29%,461,1.33%,,,
Unknown,N/A,9855,N/A,53,0.54%,66,0.67%,,,
,,,,,,,,,,
Total,"470,313",47035,1000.08,1261,2.68%,537,1.14%,,,
