,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",791,81.69,9,1.14%,0,0.00%,,,
18-44,"173,546",4856,279.81,84,1.73%,5,0.10%,,,
45-64,"116,740",1680,143.91,104,6.19%,16,0.95%,,,
65-74,"40,633",425,104.59,40,9.41%,14,3.29%,,,
75+,"28,440",281,98.80,57,20.28%,29,10.32%,,,
,,,,,,,,,,
Females,242211,4162,171.83,152,3.65%,24,0.58%,,,
Males,228102,3820,167.47,142,3.72%,40,1.05%,,,
Unknown,N/A,51,N/A,0,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,85,75.31,2,2.35%,0,0.00%,,,
Black,41858,870,207.85,60,6.90%,10,1.15%,,,
White,404469,5673,140.26,212,3.74%,45,0.79%,,,
Hawaiian/Pacific Islander,470,23,489.36,4,17.39%,0,0.00%,,,
Other ,12229,395,323.00,9,2.28%,2,0.51%,,,
Unknown,N/A,987,N/A,7,0.71%,7,0.71%,,,
,,,,,,,,,,
Hispanic,20694,1043,504.01,45,4.31%,5,0.48%,,,
Non-Hispanic,449619,5816,129.35,240,4.13%,48,0.83%,,,
Unknown,N/A,1174,N/A,9,0.77%,11,0.94%,,,
,,,,,,,,,,
Total,"470,313",8033,170.80,294,3.66%,64,0.80%,,,
