,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",6407,661.70,28,0.44%,0,0.00%,,,
18-44,"173,546",25529,1471.02,190,0.74%,13,0.05%,,,
45-64,"116,740",13658,1169.95,397,2.91%,97,0.71%,,,
65-74,"40,633",3784,931.26,316,8.35%,144,3.81%,,,
75+,"28,440",2650,931.79,480,18.11%,385,14.53%,,,
,,,,,,,,,,
Females,242211,27530,1136.61,704,2.56%,289,1.05%,,,
Males,228102,24156,1059.00,703,2.91%,350,1.45%,,,
Unknown,N/A,342,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,631,559.05,15,2.38%,6,0.95%,,,
Black,41858,3925,937.69,162,4.13%,44,1.12%,,,
White,404469,39745,982.65,1178,2.96%,558,1.40%,,,
Hawaiian/Pacific Islander,470,64,1361.70,4,6.25%,0,0.00%,,,
Other ,12229,1802,1473.55,22,1.22%,3,0.17%,,,
Unknown,N/A,5861,N/A,30,0.51%,28,0.48%,,,
,,,,,,,,,,
Hispanic,20694,2786,1346.28,73,2.62%,6,0.22%,,,
Non-Hispanic,449619,39713,883.26,1281,3.23%,574,1.45%,,,
Unknown,N/A,9529,N/A,57,0.60%,59,0.62%,,,
,,,,,,,,,,
Total,"470,313",52028,1106.24,1411,2.71%,639,1.23%,,,
