,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,14492,1492.68,50,0.35%,0,0.00%
18-44,183183,39686,2166.47,288,0.73%,43,0.11%
45-64,116628,20712,1775.90,641,3.09%,213,1.03%
65-74,46724,5650,1209.23,529,9.36%,241,4.27%
75+,31987,3810,1191.11,708,18.58%,502,13.18%
,,,,,,,
Females,244460,44732,1829.83,1107,2.47%,443,0.99%
Males,231149,38913,1683.46,1106,2.84%,556,1.43%
Unknown,N/A,705,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,915,779.59,20,2.19%,7,0.77%
Black,42291,6950,1643.38,271,3.90%,91,1.31%
White,408000,61349,1503.65,1832,2.99%,863,1.41%
Hawaiian/Pacific Islander,585,97,1658.12,5,5.15%,1,1.03%
Other ,12996,4193,3226.38,38,0.91%,6,0.14%
Unknown,N/A,10846,N/A,50,0.46%,31,0.29%
,,,,,,,
Hispanic,22336,3710,1661.00,92,2.48%,13,0.35%
Non-Hispanic,453273,60388,1332.27,2013,3.33%,906,1.50%
Unknown,N/A,20252,N/A,111,0.55%,80,0.40%
,,,,,,,
Total,"475,609",84350,1773.52,2216,2.63%,999,1.18%
