,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,14066,1448.80,50,0.36%,0,0.00%
18-44,183183,38176,2084.04,277,0.73%,41,0.11%
45-64,116628,20000,1714.85,600,3.00%,200,1.00%
65-74,46724,5453,1167.07,505,9.26%,236,4.33%
75+,31987,3677,1149.53,682,18.55%,474,12.89%
,,,,,,,
Females,244460,43104,1763.23,1057,2.45%,424,0.98%
Males,231149,37562,1625.01,1053,2.80%,527,1.40%
Unknown,N/A,706,N/A,4,0.00%,0,0.00%
,,,,,,,
Asian,11737,857,730.17,20,2.33%,7,0.82%
Black,42291,6748,1595.61,255,3.78%,87,1.29%
White,408000,59112,1448.82,1754,2.97%,821,1.39%
Hawaiian/Pacific Islander,585,92,1572.65,4,4.35%,0,0.00%
Other ,12996,4000,3077.87,36,0.90%,6,0.15%
Unknown,N/A,10563,N/A,45,0.43%,30,0.28%
,,,,,,,
Hispanic,22336,3635,1627.42,90,2.48%,13,0.36%
Non-Hispanic,453273,58490,1290.39,1921,3.28%,861,1.47%
Unknown,N/A,19247,N/A,103,0.54%,77,0.40%
,,,,,,,
Total,"475,609",81372,1710.90,2114,2.60%,951,1.17%
