,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,
0-17,"96,826",5131,529.92,23,0.45%,0,0.00%,,
18-44,"173,546",21577,1243.30,158,0.73%,10,0.05%,,
45-64,"116,740",11492,984.41,314,2.73%,74,0.64%,,
65-74,"40,633",3265,803.53,255,7.81%,119,3.64%,,
75+,"28,440",2394,841.77,415,17.34%,294,12.28%,,
,,,,,,,,,
Females,242211,23203,957.97,593,2.56%,225,0.97%,,
Males,228102,20288,889.43,569,2.80%,272,1.34%,,
Unknown,N/A,368,N/A,3,0.00%,0,0.00%,,
,,,,,,,,,
Asian,11287,470,416.41,12,2.55%,4,0.85%,,
Black,41858,3193,762.82,128,4.01%,33,1.03%,,
White,404469,32268,797.79,967,3.00%,409,1.27%,,
Hawaiian/Pacific Islander,470,50,1063.83,4,8.00%,1,2.00%,,
Other ,12229,1443,1179.98,19,1.32%,3,0.21%,,
Unknown,N/A,6385,N/A,35,0.55%,47,0.74%,,
,,,,,,,,,
Hispanic,20694,2430,1174.25,65,2.67%,9,0.37%,,
Non-Hispanic,449619,31015,689.81,1038,3.35%,428,1.38%,,
Unknown,N/A,10414,N/A,62,0.60%,60,0.58%,,
,,,,,,,,,
Total,"470,313",43859,932.55,1165,2.66%,497,1.13%,,
