,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1916,197.88,12,0.63%,0,0.00%,,,
18-44,"173,546",9856,567.92,123,1.25%,6,0.06%,,,
45-64,"116,740",4282,366.80,182,4.25%,25,0.58%,,,
65-74,"40,633",1173,288.68,97,8.27%,37,3.15%,,,
75+,"28,440",790,277.78,148,18.73%,84,10.63%,,,
,,,,,,,,,,
Females,242211,9392,387.76,283,3.01%,56,0.60%,,,
Males,228102,8465,371.11,277,3.27%,96,1.13%,,,
Unknown,N/A,160,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,192,170.11,5,2.60%,1,0.52%,,,
Black,41858,1454,347.36,87,5.98%,17,1.17%,,,
White,404469,13149,325.09,443,3.37%,122,0.93%,,,
Hawaiian/Pacific Islander,470,35,744.68,4,11.43%,0,0.00%,,,
Other ,12229,642,524.98,13,2.02%,2,0.31%,,,
Unknown,N/A,2545,N/A,10,0.39%,10,0.39%,,,
,,,,,,,,,,
Hispanic,20694,1445,698.27,49,3.39%,4,0.28%,,,
Non-Hispanic,449619,13300,295.81,501,3.77%,131,0.98%,,,
Unknown,N/A,3272,N/A,12,0.37%,17,0.52%,,,
,,,,,,,,,,
Total,"470,313",18017,383.09,562,3.12%,152,0.84%,,,
