,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",6286,649.21,28,0.45%,0,0.00%,,,
18-44,"173,546",25247,1454.77,186,0.74%,11,0.04%,,,
45-64,"116,740",13519,1158.04,389,2.88%,92,0.68%,,,
65-74,"40,633",3751,923.14,311,8.29%,144,3.84%,,,
75+,"28,440",2650,931.79,475,17.92%,382,14.42%,,,
,,,,,,,,,,
Females,242211,27221,1123.85,694,2.55%,287,1.05%,,,
Males,228102,23883,1047.03,691,2.89%,342,1.43%,,,
Unknown,N/A,349,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,634,561.71,14,2.21%,5,0.79%,,,
Black,41858,3873,925.27,160,4.13%,42,1.08%,,,
White,404469,39183,968.75,1157,2.95%,551,1.41%,,,
Hawaiian/Pacific Islander,470,63,1340.43,4,6.35%,0,0.00%,,,
Other ,12229,1761,1440.02,22,1.25%,3,0.17%,,,
Unknown,N/A,5939,N/A,32,0.54%,28,0.47%,,,
,,,,,,,,,,
Hispanic,20694,2755,1331.30,72,2.61%,6,0.22%,,,
Non-Hispanic,449619,39102,869.67,1256,3.21%,564,1.44%,,,
Unknown,N/A,9596,N/A,61,0.64%,59,0.61%,,,
,,,,,,,,,,
Total,"470,313",51453,1094.02,1389,2.70%,629,1.22%,,,
