,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1090,112.57,10,0.92%,0,0.00%,,,
18-44,"173,546",6313,363.77,98,1.55%,5,0.08%,,,
45-64,"116,740",2190,187.60,131,5.98%,20,0.91%,,,
65-74,"40,633",574,141.26,64,11.15%,20,3.48%,,,
75+,"28,440",360,126.58,78,21.67%,39,10.83%,,,
,,,,,,,,,,
Females,242211,5427,224.06,201,3.70%,29,0.53%,,,
Males,228102,5044,221.13,180,3.57%,55,1.09%,,,
Unknown,N/A,56,N/A,0,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,128,113.40,2,1.56%,0,0.00%,,,
Black,41858,1044,249.41,74,7.09%,13,1.25%,,,
White,404469,7900,195.32,284,3.59%,67,0.85%,,,
Hawaiian/Pacific Islander,470,28,595.74,4,14.29%,0,0.00%,,,
Other ,12229,466,381.06,10,2.15%,2,0.43%,,,
Unknown,N/A,961,N/A,7,0.73%,2,0.21%,,,
,,,,,,,,,,
Hispanic,20694,1202,580.84,48,3.99%,4,0.33%,,,
Non-Hispanic,449619,8251,183.51,323,3.91%,74,0.90%,,,
Unknown,N/A,1074,N/A,10,0.93%,6,0.56%,,,
,,,,,,,,,,
Total,"470,313",10527,223.83,381,3.62%,84,0.80%,,,
