,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",596,61.55,6,1.01%,0,0.00%,,,
18-44,"173,546",3397,195.74,64,1.88%,5,0.15%,,,
45-64,"116,740",1381,118.30,95,6.88%,16,1.16%,,,
65-74,"40,633",322,79.25,30,9.32%,9,2.80%,,,
75+,"28,440",214,75.25,48,22.43%,23,10.75%,,,
,,,,,,,,,,
Females,242211,2994,123.61,122,4.07%,20,0.67%,,,
Males,228102,2872,125.91,121,4.21%,33,1.15%,,,
,,,,,,,,,,
Asian,11287,52,46.07,2,3.85%,0,0.00%,,,
Black,41858,712,170.10,52,7.30%,10,1.40%,,,
White,404469,4004,98.99,170,4.25%,34,0.85%,,,
Hawaiian/Pacific Islander,470,18,382.98,4,22.22%,0,0.00%,,,
Other ,12229,341,278.85,8,2.35%,2,0.59%,,,
Unknown,N/A,783,N/A,7,0.89%,7,0.89%,,,
,,,,,,,,,,
Hispanic,20694,859,415.10,44,5.12%,5,0.58%,,,
Non-Hispanic,449619,4101,91.21,193,4.71%,37,0.90%,,,
Unknown,N/A,950,N/A,6,0.63%,11,1.16%,,,
,,,,,,,,,,
Total,"470,313",5910,125.66,243,4.11%,53,0.90%,,,
