,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,22114,2277.75,72,0.33%,1,0.00%
18-44,183183,59791,3264.00,308,0.52%,61,0.10%
45-64,116628,31473,2698.58,715,2.27%,287,0.91%
65-74,46724,8507,1820.69,694,8.16%,317,3.73%
75+,31987,5657,1768.53,916,16.19%,667,11.79%
,,,,,,,
Females,244460,68719,2811.05,1349,1.96%,606,0.88%
Males,231149,57991,2508.81,1353,2.33%,727,1.25%
Unknown,N/A,832,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,1541,1312.94,22,1.43%,9,0.58%
Black,42291,10367,2451.35,332,3.20%,124,1.20%
White,408000,89188,2185.98,2243,2.51%,1155,1.30%
Hawaiian/Pacific Islander,585,142,2427.35,5,3.52%,1,0.70%
Other ,12996,8353,6427.36,48,0.57%,8,0.10%
Unknown,N/A,17951,N/A,55,0.31%,36,0.20%
,,,,,,,
Hispanic,22336,4533,2029.46,104,2.29%,21,0.46%
Non-Hispanic,453273,84756,1869.87,2464,2.91%,1214,1.43%
Unknown,N/A,38253,N/A,137,0.36%,98,0.26%
,,,,,,,
Total,"475,609",127542,2681.66,2705,2.12%,1333,1.05%
