,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5891,608.41,27,0.46%,0,0.00%,,,
18-44,"173,546",23843,1373.87,172,0.72%,11,0.05%,,,
45-64,"116,740",12834,1099.37,352,2.74%,83,0.65%,,,
65-74,"40,633",3626,892.38,297,8.19%,140,3.86%,,,
75+,"28,440",2599,913.85,456,17.55%,368,14.16%,,,
,,,,,,,,,,
Females,242211,25843,1066.96,654,2.53%,276,1.07%,,,
Males,228102,22615,991.44,646,2.86%,326,1.44%,,,
Unknown,N/A,335,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,590,522.73,13,2.20%,5,0.85%,,,
Black,41858,3639,869.37,148,4.07%,38,1.04%,,,
White,404469,36950,913.54,1086,2.94%,528,1.43%,,,
Hawaiian/Pacific Islander,470,59,1255.32,4,6.78%,0,0.00%,,,
Other ,12229,1576,1288.74,22,1.40%,3,0.19%,,,
Unknown,N/A,5979,N/A,31,0.52%,28,0.47%,,,
,,,,,,,,,,
Hispanic,20694,2636,1273.80,71,2.69%,6,0.23%,,,
Non-Hispanic,449619,36581,813.60,1179,3.22%,539,1.47%,,,
Unknown,N/A,9576,N/A,54,0.56%,57,0.60%,,,
,,,,,,,,,,
Total,"470,313",48793,1037.46,1304,2.67%,602,1.23%,,,
