,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1869,193.03,12,0.64%,0,0.00%,,,
18-44,"173,546",9675,557.49,121,1.25%,5,0.05%,,,
45-64,"116,740",4171,357.29,176,4.22%,25,0.60%,,,
65-74,"40,633",1128,277.61,97,8.60%,36,3.19%,,,
75+,"28,440",767,269.69,145,18.90%,80,10.43%,,,
,,,,,,,,,,
Females,242211,9175,378.80,280,3.05%,53,0.58%,,,
Males,228102,8292,363.52,269,3.24%,93,1.12%,,,
Unknown,N/A,143,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,186,164.79,5,2.69%,1,0.54%,,,
Black,41858,1425,340.44,86,6.04%,17,1.19%,,,
White,404469,12790,316.22,434,3.39%,116,0.91%,,,
Hawaiian/Pacific Islander,470,35,744.68,4,11.43%,0,0.00%,,,
Other ,12229,635,519.26,13,2.05%,2,0.31%,,,
Unknown,N/A,2539,N/A,9,0.35%,10,0.39%,,,
,,,,,,,,,,
Hispanic,20694,1423,687.64,49,3.44%,4,0.28%,,,
Non-Hispanic,449619,12947,287.95,491,3.79%,125,0.97%,,,
Unknown,N/A,3240,N/A,11,0.34%,17,0.52%,,,
,,,,,,,,,,
Total,"470,313",17610,374.43,551,3.13%,146,0.83%,,,
