,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1036,107.00,10,0.97%,0,0.00%,,,
18-44,"173,546",6085,350.63,97,1.59%,5,0.08%,,,
45-64,"116,740",2065,176.89,124,6.00%,19,0.92%,,,
65-74,"40,633",546,134.37,55,10.07%,20,3.66%,,,
75+,"28,440",348,122.36,74,21.26%,37,10.63%,,,
,,,,,,,,,,
Females,242211,5192,214.36,186,3.58%,28,0.54%,,,
Males,228102,4830,211.75,174,3.60%,53,1.10%,,,
Unknown,N/A,58,N/A,0,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,122,108.09,2,1.64%,0,0.00%,,,
Black,41858,1009,241.05,70,6.94%,13,1.29%,,,
White,404469,7463,184.51,266,3.56%,64,0.86%,,,
Hawaiian/Pacific Islander,470,28,595.74,4,14.29%,0,0.00%,,,
Other ,12229,457,373.70,10,2.19%,2,0.44%,,,
Unknown,N/A,1001,N/A,8,0.80%,2,0.20%,,,
,,,,,,,,,,
Hispanic,20694,1185,572.63,48,4.05%,4,0.34%,,,
Non-Hispanic,449619,7792,173.30,302,3.88%,71,0.91%,,,
Unknown,N/A,1103,N/A,10,0.91%,6,0.54%,,,
,,,,,,,,,,
Total,"470,313",10080,214.33,360,3.57%,81,0.80%,,,
