,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",673,69.51,7,1.04%,0,0.00%,,,
18-44,"173,546",3742,215.62,70,1.87%,5,0.13%,,,
45-64,"116,740",1503,128.75,98,6.52%,16,1.06%,,,
65-74,"40,633",352,86.63,34,9.66%,10,2.84%,,,
75+,"28,440",229,80.52,52,22.71%,25,10.92%,,,
,,,,,,,,,,
Females,242211,3294,136.00,133,4.04%,21,0.64%,,,
Males,228102,3161,138.58,128,4.05%,35,1.11%,,,
,,,,,,,,,,
Asian,11287,59,52.27,2,3.39%,0,0.00%,,,
Black,41858,778,185.87,56,7.20%,10,1.29%,,,
White,404469,4525,111.88,183,4.04%,37,0.82%,,,
Hawaiian/Pacific Islander,470,19,404.26,4,21.05%,0,0.00%,,,
Other ,12229,362,296.02,8,2.21%,2,0.55%,,,
Unknown,N/A,756,N/A,8,1.06%,7,0.93%,,,
,,,,,,,,,,
Hispanic,20694,950,459.07,45,4.74%,5,0.53%,,,
Non-Hispanic,449619,4643,103.27,209,4.50%,40,0.86%,,,
Unknown,N/A,906,N/A,7,0.77%,11,1.21%,,,
,,,,,,,,,,
Total,"470,313",6499,138.18,261,4.02%,56,0.86%,,,
