,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5740,592.82,27,0.47%,0,0.00%,,,
18-44,"173,546",23281,1341.49,168,0.72%,11,0.05%,,,
45-64,"116,740",12552,1075.21,343,2.73%,81,0.65%,,,
65-74,"40,633",3545,872.44,288,8.12%,131,3.70%,,,
75+,"28,440",2561,900.49,451,17.61%,321,12.53%,,,
,,,,,,,,,,
Females,242211,25244,1042.23,646,2.56%,245,0.97%,,,
Males,228102,22073,967.68,627,2.84%,299,1.35%,,,
Unknown,N/A,362,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,575,509.44,13,2.26%,4,0.70%,,,
Black,41858,3529,843.09,143,4.05%,34,0.96%,,,
White,404469,36001,890.08,1065,2.96%,454,1.26%,,,
Hawaiian/Pacific Islander,470,57,1212.77,4,7.02%,1,1.75%,,,
Other ,12229,1544,1262.57,21,1.36%,3,0.19%,,,
Unknown,N/A,5973,N/A,31,0.52%,48,0.80%,,,
,,,,,,,,,,
Hispanic,20694,2594,1253.50,70,2.70%,10,0.39%,,,
Non-Hispanic,449619,35434,788.09,1153,3.25%,468,1.32%,,,
Unknown,N/A,9651,N/A,54,0.56%,66,0.68%,,,
,,,,,,,,,,
Total,"470,313",47679,1013.77,1277,2.68%,544,1.14%,,,
