,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5458,563.69,24,0.44%,0,0.00%,,,
18-44,"173,546",22460,1294.18,163,0.73%,11,0.05%,,,
45-64,"116,740",12027,1030.24,327,2.72%,78,0.65%,,,
65-74,"40,633",3413,839.96,272,7.97%,123,3.60%,,,
75+,"28,440",2498,878.34,432,17.29%,309,12.37%,,,
,,,,,,,,,,
Females,242211,24263,1001.73,618,2.55%,234,0.96%,,,
Males,228102,21224,930.46,597,2.81%,287,1.35%,,,
Unknown,N/A,369,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,546,483.74,12,2.20%,4,0.73%,,,
Black,41858,3358,802.24,134,3.99%,33,0.98%,,,
White,404469,34055,841.97,1016,2.98%,433,1.27%,,,
Hawaiian/Pacific Islander,470,53,1127.66,4,7.55%,1,1.89%,,,
Other ,12229,1495,1222.50,19,1.27%,3,0.20%,,,
Unknown,N/A,6349,N/A,33,0.52%,47,0.74%,,,
,,,,,,,,,,
Hispanic,20694,2509,1212.43,67,2.67%,10,0.40%,,,
Non-Hispanic,449619,33013,734.24,1088,3.30%,446,1.35%,,,
Unknown,N/A,10334,N/A,63,0.61%,65,0.63%,,,
,,,,,,,,,,
Total,"470,313",45856,975.01,1218,2.66%,521,1.14%,,,
