,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1726,178.26,12,0.70%,0,0.00%,,,
18-44,"173,546",9017,519.57,121,1.34%,5,0.06%,,,
45-64,"116,740",3741,320.46,170,4.54%,23,0.61%,,,
65-74,"40,633",1020,251.03,92,9.02%,28,2.75%,,,
75+,"28,440",676,237.69,134,19.82%,74,10.95%,,,
,,,,,,,,,,
Females,242211,8436,348.29,273,3.24%,45,0.53%,,,
Males,228102,7611,333.67,254,3.34%,85,1.12%,,,
Unknown,N/A,133,N/A,1,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,169,149.73,4,2.37%,0,0.00%,,,
Black,41858,1360,324.91,85,6.25%,17,1.25%,,,
White,404469,12034,297.53,414,3.44%,106,0.88%,,,
Hawaiian/Pacific Islander,470,32,680.85,4,12.50%,0,0.00%,,,
Other ,12229,603,493.09,13,2.16%,2,0.33%,,,
Unknown,N/A,1983,N/A,9,0.45%,5,0.25%,,,
,,,,,,,,,,
Hispanic,20694,1403,677.97,49,3.49%,4,0.29%,,,
Non-Hispanic,449619,12399,275.77,469,3.78%,114,0.92%,,,
Unknown,N/A,2379,N/A,11,0.46%,12,0.50%,,,
,,,,,,,,,,
Total,"470,313",16180,344.03,529,3.27%,130,0.80%,,,
