,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",2182,225.35,15,0.69%,0,0.00%,,,
18-44,"173,546",10962,631.65,127,1.16%,7,0.06%,,,
45-64,"116,740",4955,424.45,193,3.90%,28,0.57%,,,
65-74,"40,633",1396,343.56,106,7.59%,43,3.08%,,,
75+,"28,440",926,325.60,168,18.14%,101,10.91%,,,
,,,,,,,,,,
Females,242211,10632,438.96,305,2.87%,69,0.65%,,,
Males,228102,9612,421.39,301,3.13%,110,1.14%,,,
Unknown,N/A,177,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,214,189.60,5,2.34%,1,0.47%,,,
Black,41858,1570,375.08,92,5.86%,22,1.40%,,,
White,404469,14617,361.39,484,3.31%,141,0.96%,,,
Hawaiian/Pacific Islander,470,36,765.96,4,11.11%,0,0.00%,,,
Other ,12229,676,552.78,13,1.92%,2,0.30%,,,
Unknown,N/A,3308,N/A,11,0.33%,13,0.39%,,,
,,,,,,,,,,
Hispanic,20694,1493,721.47,49,3.28%,7,0.47%,,,
Non-Hispanic,449619,14379,319.80,545,3.79%,152,1.06%,,,
Unknown,N/A,4549,N/A,15,0.33%,20,0.44%,,,
,,,,,,,,,,
Total,"470,313",20421,434.20,609,2.98%,179,0.88%,,,
