,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1670,172.47,11,0.66%,0,0.00%,,,
18-44,"173,546",8716,502.23,120,1.38%,5,0.06%,,,
45-64,"116,740",3590,307.52,169,4.71%,23,0.64%,,,
65-74,"40,633",977,240.44,91,9.31%,28,2.87%,,,
75+,"28,440",639,224.68,122,19.09%,69,10.80%,,,
,,,,,,,,,,
Females,242211,8130,335.66,267,3.28%,42,0.52%,,,
Males,228102,7347,322.09,244,3.32%,83,1.13%,,,
Unknown,N/A,115,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,165,146.19,4,2.42%,0,0.00%,,,
Black,41858,1335,318.94,85,6.37%,17,1.27%,,,
White,404469,11610,287.04,398,3.43%,103,0.89%,,,
Hawaiian/Pacific Islander,470,32,680.85,4,12.50%,0,0.00%,,,
Other ,12229,568,464.47,13,2.29%,2,0.35%,,,
Unknown,N/A,1882,N/A,9,0.48%,3,0.16%,,,
,,,,,,,,,,
Hispanic,20694,1381,667.34,49,3.55%,4,0.29%,,,
Non-Hispanic,449619,11936,265.47,453,3.80%,111,0.93%,,,
Unknown,N/A,2275,N/A,11,0.48%,10,0.44%,,,
,,,,,,,,,,
Total,"470,313",15592,331.52,513,3.29%,125,0.80%,,,
