,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",641,66.20,6,0.94%,0,0.00%,,,
18-44,"173,546",3552,204.67,66,1.86%,5,0.14%,,,
45-64,"116,740",1445,123.78,95,6.57%,16,1.11%,,,
65-74,"40,633",330,81.21,31,9.39%,9,2.73%,,,
75+,"28,440",221,77.71,51,23.08%,23,10.41%,,,
,,,,,,,,,,
Females,242211,3127,129.10,125,4.00%,20,0.64%,,,
Males,228102,3020,132.40,124,4.11%,33,1.09%,,,
,,,,,,,,,,
Asian,11287,54,47.84,2,3.70%,0,0.00%,,,
Black,41858,737,176.07,53,7.19%,10,1.36%,,,
White,404469,4179,103.32,175,4.19%,34,0.81%,,,
Hawaiian/Pacific Islander,470,18,382.98,4,22.22%,0,0.00%,,,
Other ,12229,348,284.57,8,2.30%,2,0.57%,,,
Unknown,N/A,853,N/A,7,0.82%,7,0.82%,,,
,,,,,,,,,,
Hispanic,20694,890,430.08,44,4.94%,5,0.56%,,,
Non-Hispanic,449619,4285,95.30,198,4.62%,37,0.86%,,,
Unknown,N/A,1014,N/A,7,0.69%,11,1.08%,,,
,,,,,,,,,,
Total,"470,313",6189,131.59,249,4.02%,53,0.86%,,,
