,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,14125,1454.88,50,0.35%,0,0.00%
18-44,183183,38374,2094.85,279,0.73%,41,0.11%
45-64,116628,20104,1723.77,604,3.00%,203,1.01%
65-74,46724,5480,1172.84,507,9.25%,236,4.31%
75+,31987,3693,1154.53,687,18.60%,478,12.94%
,,,,,,,
Females,244460,43316,1771.91,1064,2.46%,427,0.99%
Males,231149,37758,1633.49,1060,2.81%,531,1.41%
Unknown,N/A,702,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,866,737.84,20,2.31%,7,0.81%
Black,42291,6771,1601.05,257,3.80%,88,1.30%
White,408000,59407,1456.05,1764,2.97%,827,1.39%
Hawaiian/Pacific Islander,585,92,1572.65,4,4.35%,0,0.00%
Other ,12996,4020,3093.26,36,0.90%,6,0.15%
Unknown,N/A,10620,N/A,46,0.43%,30,0.28%
,,,,,,,
Hispanic,22336,3644,1631.45,90,2.47%,13,0.36%
Non-Hispanic,453273,58686,1294.72,1932,3.29%,868,1.48%
Unknown,N/A,19446,N/A,105,0.54%,77,0.40%
,,,,,,,
Total,"475,609",81776,1719.40,2127,2.60%,958,1.17%
