,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,13991,1441.08,50,0.36%,0,0.00%
18-44,183183,37943,2071.32,273,0.72%,40,0.11%
45-64,116628,19860,1702.85,588,2.96%,196,0.99%
65-74,46724,5421,1160.22,502,9.26%,235,4.33%
75+,31987,3654,1142.34,673,18.42%,472,12.92%
,,,,,,,
Females,244460,42828,1751.94,1038,2.42%,419,0.98%
Males,231149,37334,1615.15,1044,2.80%,524,1.40%
Unknown,N/A,707,N/A,4,0.00%,0,0.00%
,,,,,,,
Asian,11737,853,726.76,19,2.23%,7,0.82%
Black,42291,6709,1586.39,254,3.79%,86,1.28%
White,408000,58699,1438.70,1727,2.94%,814,1.39%
Hawaiian/Pacific Islander,585,91,1555.56,4,4.40%,0,0.00%
Other ,12996,3970,3054.79,37,0.93%,6,0.15%
Unknown,N/A,10547,N/A,45,0.43%,30,0.28%
,,,,,,,
Hispanic,22336,3619,1620.25,90,2.49%,13,0.36%
Non-Hispanic,453273,58049,1280.66,1895,3.26%,854,1.47%
Unknown,N/A,19201,N/A,101,0.53%,76,0.40%
,,,,,,,
Total,"475,609",80869,1700.33,2086,2.58%,943,1.17%
