,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,
0-17,"96,826",4456,460.21,22,0.49%,0,0.00%,,
18-44,"173,546",19777,1139.58,149,0.75%,10,0.05%,,
45-64,"116,740",10483,897.98,281,2.68%,57,0.54%,,
65-74,"40,633",2950,726.01,217,7.36%,90,3.05%,,
75+,"28,440",2166,761.60,359,16.57%,239,11.03%,,
,,,,,,,,,
Females,242211,21041,868.71,523,2.49%,168,0.80%,,
Males,228102,18423,807.66,503,2.73%,228,1.24%,,
Unknown,N/A,368,N/A,2,0.00%,0,0.00%,,
,,,,,,,,,
Asian,11287,421,373.00,11,2.61%,3,0.71%,,
Black,41858,2828,675.62,118,4.17%,29,1.03%,,
White,404469,28867,713.70,845,2.93%,317,1.10%,,
Hawaiian/Pacific Islander,470,44,936.17,4,9.09%,1,2.27%,,
Other ,12229,1299,1062.23,18,1.39%,3,0.23%,,
Unknown,N/A,6373,N/A,32,0.50%,43,0.67%,,
,,,,,,,,,
Hispanic,20694,2230,1077.61,61,2.74%,9,0.40%,,
Non-Hispanic,449619,27240,605.85,915,3.36%,339,1.24%,,
Unknown,N/A,10362,N/A,52,0.50%,48,0.46%,,
,,,,,,,,,
Total,"470,313",39832,846.93,1028,2.58%,398,1.00%,,
