,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,7835,807.01,33,0.42%,0,0.00%
18-44,183183,28428,1551.89,207,0.73%,15,0.05%
45-64,116628,14893,1276.97,416,2.79%,113,0.76%
65-74,46724,4129,883.70,351,8.50%,154,3.73%
75+,31987,2847,890.05,511,17.95%,396,13.91%
,,,,,,,
Females,244460,30780,1259.10,764,2.48%,303,0.98%
Males,231149,26907,1164.05,751,2.79%,375,1.39%
Unknown,N/A,445,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,664,565.73,16,2.41%,6,0.90%
Black,42291,4647,1098.82,179,3.85%,48,1.03%
White,408000,43425,1064.34,1260,2.90%,591,1.36%
Hawaiian/Pacific Islander,585,74,1264.96,4,5.41%,0,0.00%
Other ,12996,2306,1774.39,27,1.17%,5,0.22%
Unknown,N/A,7016,N/A,32,0.46%,28,0.40%
,,,,,,,
Hispanic,22336,2908,1301.93,77,2.65%,8,0.28%
Non-Hispanic,453273,42899,946.43,1374,3.20%,610,1.42%
Unknown,N/A,12325,N/A,67,0.54%,60,0.49%
,,,,,,,
Total,"475,609",58132,1222.26,1518,2.61%,678,1.17%
