,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,12952,1334.06,47,0.36%,0,0.00%
18-44,183183,35524,1939.26,236,0.66%,36,0.10%
45-64,116628,18490,1585.38,471,2.55%,166,0.90%
65-74,46724,5024,1075.25,453,9.02%,204,4.06%
75+,31987,3388,1059.18,613,18.09%,443,13.08%
,,,,,,,
Females,244460,39876,1631.19,913,2.29%,376,0.94%
Males,231149,34807,1505.83,904,2.60%,473,1.36%
Unknown,N/A,695,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,785,668.83,17,2.17%,7,0.89%
Black,42291,6257,1479.51,226,3.61%,78,1.25%
White,408000,53660,1315.20,1507,2.81%,730,1.36%
Hawaiian/Pacific Islander,585,88,1504.27,4,4.55%,0,0.00%
Other ,12996,3727,2867.81,29,0.78%,5,0.13%
Unknown,N/A,10861,N/A,37,0.34%,29,0.27%
,,,,,,,
Hispanic,22336,3387,1516.39,82,2.42%,11,0.32%
Non-Hispanic,453273,52171,1150.98,1651,3.16%,769,1.47%
Unknown,N/A,19820,N/A,87,0.44%,69,0.35%
,,,,,,,
Total,"475,609",75378,1584.87,1820,2.41%,849,1.13%
