,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,21636,2228.52,67,0.31%,1,0.00%
18-44,183183,58627,3200.46,300,0.51%,52,0.09%
45-64,116628,30640,2627.16,687,2.24%,267,0.87%
65-74,46724,8237,1762.91,664,8.06%,295,3.58%
75+,31987,5320,1663.18,865,16.26%,619,11.64%
,,,,,,,
Females,244460,66967,2739.38,1288,1.92%,554,0.83%
Males,231149,56668,2451.58,1292,2.28%,680,1.20%
Unknown,N/A,825,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,1462,1245.63,22,1.50%,9,0.62%
Black,42291,10064,2379.70,323,3.21%,116,1.15%
White,408000,86550,2121.32,2135,2.47%,1066,1.23%
Hawaiian/Pacific Islander,585,140,2393.16,5,3.57%,1,0.71%
Other ,12996,8171,6287.32,45,0.55%,7,0.09%
Unknown,N/A,18073,N/A,53,0.29%,35,0.19%
,,,,,,,
Hispanic,22336,4429,1982.90,99,2.24%,17,0.38%
Non-Hispanic,453273,81630,1800.90,2349,2.88%,1121,1.37%
Unknown,N/A,38401,N/A,135,0.35%,96,0.25%
,,,,,,,
Total,"475,609",124460,2616.86,2583,2.08%,1234,0.99%
