,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,6522,671.77,29,0.44%,0,0.00%
18-44,183183,25673,1401.49,198,0.77%,15,0.06%
45-64,116628,13667,1171.85,407,2.98%,104,0.76%
65-74,46724,3802,813.71,326,8.57%,148,3.89%
75+,31987,2660,831.59,486,18.27%,388,14.59%
,,,,,,,
Females,244460,27668,1131.80,728,2.63%,295,1.07%
Males,231149,24325,1052.35,715,2.94%,360,1.48%
Unknown,N/A,331,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,631,537.62,15,2.38%,6,0.95%
Black,42291,4021,950.79,169,4.20%,47,1.17%
White,408000,39933,978.75,1203,3.01%,570,1.43%
Hawaiian/Pacific Islander,585,65,1111.11,4,6.15%,0,0.00%
Other ,12996,1837,1413.51,24,1.31%,4,0.22%
Unknown,N/A,5837,N/A,31,0.53%,28,0.48%
,,,,,,,
Hispanic,22336,2790,1249.10,76,2.72%,7,0.25%
Non-Hispanic,453273,39851,879.18,1311,3.29%,588,1.48%
Unknown,N/A,9683,N/A,59,0.61%,60,0.62%
,,,,,,,
Total,"475,609",52324,1100.15,1446,2.76%,655,1.25%
