,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",3479,359.30,13,0.37%,0,0.00%,,,
18-44,"173,546",15626,900.40,132,0.84%,9,0.06%,,,
45-64,"116,740",8028,687.68,213,2.65%,38,0.47%,,,
65-74,"40,633",2224,547.34,139,6.25%,70,3.15%,,,
75+,"28,440",1547,543.95,228,14.74%,170,10.99%,,,
,,,,,,,,,,
Females,242211,16151,666.82,359,2.22%,115,0.71%,,,
Males,228102,14425,632.39,364,2.52%,172,1.19%,,,
Unknown,N/A,328,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,278,246.30,7,2.52%,1,0.36%,,,
Black,41858,2064,493.10,101,4.89%,25,1.21%,,,
White,404469,20085,496.58,580,2.89%,230,1.15%,,,
Hawaiian/Pacific Islander,470,41,872.34,4,9.76%,1,2.44%,,,
Other ,12229,930,760.49,14,1.51%,2,0.22%,,,
Unknown,N/A,7506,N/A,19,0.25%,28,0.37%,,,
,,,,,,,,,,
Hispanic,20694,1654,799.27,52,3.14%,8,0.48%,,,
Non-Hispanic,449619,18119,402.99,647,3.57%,245,1.35%,,,
Unknown,N/A,11131,N/A,26,0.23%,34,0.31%,,,
,,,,,,,,,,
Total,"470,313",30904,657.09,725,2.35%,287,0.93%,,,
