,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,22069,2273.12,71,0.32%,1,0.00%
18-44,183183,59649,3256.25,306,0.51%,59,0.10%
45-64,116628,31390,2691.46,709,2.26%,280,0.89%
65-74,46724,8470,1812.77,687,8.11%,307,3.62%
75+,31987,5579,1744.15,901,16.15%,646,11.58%
,,,,,,,
Females,244460,68485,2801.48,1335,1.95%,582,0.85%
Males,231149,57840,2502.28,1336,2.31%,711,1.23%
Unknown,N/A,832,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,1513,1289.09,22,1.45%,9,0.59%
Black,42291,10316,2439.29,331,3.21%,122,1.18%
White,408000,88688,2173.73,2217,2.50%,1118,1.26%
Hawaiian/Pacific Islander,585,141,2410.26,5,3.55%,1,0.71%
Other ,12996,8369,6439.67,46,0.55%,7,0.08%
Unknown,N/A,18130,N/A,53,0.29%,36,0.20%
,,,,,,,
Hispanic,22336,4482,2006.63,101,2.25%,19,0.42%
Non-Hispanic,453273,83907,1851.14,2437,2.90%,1176,1.40%
Unknown,N/A,38768,N/A,136,0.35%,98,0.25%
,,,,,,,
Total,"475,609",127157,2673.56,2674,2.10%,1293,1.02%
