,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,97087,14251,1467.86,50,0.35%,0,0.00%,,,
18-44,183183,38701,2112.70,283,0.73%,41,0.11%,,,
45-64,116628,20262,1737.32,613,3.03%,204,1.01%,,,
65-74,46724,5528,1183.12,513,9.28%,237,4.29%,,,
75+,31987,3723,1163.91,693,18.61%,482,12.95%,,,
,,,,,,,,,,
Females,244460,43701,1787.65,1076,2.46%,429,0.98%,,,
Males,231149,38067,1646.86,1073,2.82%,535,1.41%,,,
Unknown,N/A,697,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11737,883,752.32,20,2.27%,7,0.79%,,,
Black,42291,6819,1612.40,259,3.80%,88,1.29%,,,
White,408000,59988,1470.29,1782,2.97%,832,1.39%,,,
Hawaiian/Pacific Islander,585,94,1606.84,4,4.26%,0,0.00%,,,
Other ,12996,4068,3130.19,38,0.93%,6,0.15%,,,
Unknown,N/A,10613,N/A,49,0.46%,31,0.29%,,,
,,,,,,,,,,
Hispanic,22336,3668,1642.19,91,2.48%,13,0.35%,,,
Non-Hispanic,453273,59250,1307.16,1953,3.30%,873,1.47%,,,
Unknown,N/A,19547,N/A,108,0.55%,78,0.40%,,,
,,,,,,,,,,
Total,"475,609",82465,1733.88,2152,2.61%,964,1.17%,,,
