,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",924,95.43,9,0.97%,0,0.00%,,,
18-44,"173,546",5631,324.47,93,1.65%,5,0.09%,,,
45-64,"116,740",1893,162.16,111,5.86%,16,0.85%,,,
65-74,"40,633",479,117.88,47,9.81%,19,3.97%,,,
75+,"28,440",313,110.06,63,20.13%,31,9.90%,,,
,,,,,,,,,,
Females,242211,4766,196.77,166,3.48%,25,0.52%,,,
Males,228102,4420,193.77,157,3.55%,46,1.04%,,,
Unknown,N/A,54,N/A,0,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,112,99.23,2,1.79%,0,0.00%,,,
Black,41858,955,228.15,66,6.91%,10,1.05%,,,
White,404469,6726,166.29,233,3.46%,51,0.76%,,,
Hawaiian/Pacific Islander,470,27,574.47,4,14.81%,0,0.00%,,,
Other ,12229,434,354.89,9,2.07%,2,0.46%,,,
Unknown,N/A,986,N/A,9,0.91%,8,0.81%,,,
,,,,,,,,,,
Hispanic,20694,1124,543.15,46,4.09%,5,0.44%,,,
Non-Hispanic,449619,6943,154.42,267,3.85%,54,0.78%,,,
Unknown,N/A,1173,N/A,10,0.85%,12,1.02%,,,
,,,,,,,,,,
Total,"470,313",9240,196.46,323,3.50%,71,0.77%,,,
