,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,
0-17,"96,826",853,88.10,9,1.06%,0,0.00%,,
18-44,"173,546",5314,306.20,90,1.69%,5,0.09%,,
45-64,"116,740",1766,151.28,108,6.12%,16,0.91%,,
65-74,"40,633",457,112.47,43,9.41%,15,3.28%,,
75+,"28,440",299,105.13,62,20.74%,31,10.37%,,
,,,,,,,,,
Females,242211,4592,189.59,159,3.46%,24,0.52%,,
Males,228102,4263,186.89,153,3.59%,43,1.01%,,
Unknown,N/A,59,N/A,0,0.00%,0,0.00%,,
,,,,,,,,,
Asian,11287,104,92.14,2,1.92%,0,0.00%,,
Black,41858,931,222.42,64,6.87%,10,1.07%,,
White,404469,6351,157.02,226,3.56%,48,0.76%,,
Hawaiian/Pacific Islander,470,25,531.91,4,16.00%,0,0.00%,,
Other ,12229,418,341.81,9,2.15%,2,0.48%,,
Unknown,N/A,1085,N/A,7,0.65%,7,0.65%,,
,,,,,,,,,
Hispanic,20694,1099,531.07,46,4.19%,5,0.45%,,
Non-Hispanic,449619,6504,144.66,258,3.97%,51,0.78%,,
Unknown,N/A,1311,N/A,8,0.61%,11,0.84%,,
,,,,,,,,,
Total,"470,313",8914,189.53,312,3.50%,67,0.75%,,
