,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,22231,2289.80,72,0.32%,1,0.00%
18-44,183183,60288,3291.14,308,0.51%,62,0.10%
45-64,116628,31784,2725.25,718,2.26%,290,0.91%
65-74,46724,8616,1844.02,704,8.17%,332,3.85%
75+,31987,5788,1809.49,928,16.03%,689,11.90%
,,,,,,,
Females,244460,69422,2839.81,1364,1.96%,629,0.91%
Males,231149,58450,2528.67,1363,2.33%,745,1.27%
Unknown,N/A,835,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,1602,1364.91,22,1.37%,9,0.56%
Black,42291,10497,2482.09,333,3.17%,126,1.20%
White,408000,90852,2226.76,2269,2.50%,1193,1.31%
Hawaiian/Pacific Islander,585,144,2461.54,5,3.47%,1,0.69%
Other ,12996,8239,6339.64,48,0.58%,8,0.10%
Unknown,N/A,17373,N/A,53,0.31%,37,0.21%
,,,,,,,
Hispanic,22336,4685,2097.51,104,2.22%,21,0.45%
Non-Hispanic,453273,87207,1923.94,2492,2.86%,1255,1.44%
Unknown,N/A,36815,N/A,134,0.36%,98,0.27%
,,,,,,,
Total,"475,609",128707,2706.15,2730,2.12%,1374,1.07%
