,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5436,561.42,24,0.44%,0,0.00%,,,
18-44,"173,546",22404,1290.95,163,0.73%,11,0.05%,,,
45-64,"116,740",11989,1026.98,327,2.73%,78,0.65%,,,
65-74,"40,633",3405,837.99,270,7.93%,122,3.58%,,,
75+,"28,440",2486,874.12,430,17.30%,309,12.43%,,,
,,,,,,,,,,
Females,242211,24198,999.05,617,2.55%,233,0.96%,,,
Males,228102,21154,927.39,594,2.81%,287,1.36%,,,
Unknown,N/A,368,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,543,481.08,12,2.21%,4,0.74%,,,
Black,41858,3345,799.13,133,3.98%,33,0.99%,,,
White,404469,33961,839.64,1014,2.99%,432,1.27%,,,
Hawaiian/Pacific Islander,470,52,1106.38,4,7.69%,1,1.92%,,,
Other ,12229,1470,1202.06,19,1.29%,3,0.20%,,,
Unknown,N/A,6349,N/A,32,0.50%,47,0.74%,,,
,,,,,,,,,,
Hispanic,20694,2506,1210.98,67,2.67%,10,0.40%,,,
Non-Hispanic,449619,32901,731.75,1084,3.29%,445,1.35%,,,
Unknown,N/A,10313,N/A,63,0.61%,65,0.63%,,,
,,,,,,,,,,
Total,"470,313",45720,972.12,1214,2.66%,520,1.14%,,,
