,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1497,154.61,11,0.73%,0,0.00%,,,
18-44,"173,546",7990,460.40,112,1.40%,5,0.06%,,,
45-64,"116,740",3221,275.91,160,4.97%,21,0.65%,,,
65-74,"40,633",850,209.19,83,9.76%,25,2.94%,,,
75+,"28,440",563,197.96,109,19.36%,58,10.30%,,,
,,,,,,,,,,
Females,242211,7340,303.04,248,3.38%,38,0.52%,,,
Males,228102,6693,293.42,226,3.38%,69,1.03%,,,
Unknown,N/A,88,N/A,1,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,144,127.58,3,2.08%,0,0.00%,,,
Black,41858,1294,309.14,84,6.49%,16,1.24%,,,
White,404469,10483,259.18,362,3.45%,90,0.86%,,,
Hawaiian/Pacific Islander,470,30,638.30,4,13.33%,0,0.00%,,,
Other ,12229,534,436.67,13,2.43%,2,0.37%,,,
Unknown,N/A,1636,N/A,9,0.55%,1,0.06%,,,
,,,,,,,,,,
Hispanic,20694,1331,643.18,49,3.68%,4,0.30%,,,
Non-Hispanic,449619,10835,240.98,415,3.83%,98,0.90%,,,
Unknown,N/A,1955,N/A,11,0.56%,7,0.36%,,,
,,,,,,,,,,
Total,"470,313",14121,300.25,475,3.36%,109,0.77%,,,
