,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",4882,504.20,22,0.45%,0,0.00%,,,
18-44,"173,546",20930,1206.02,152,0.73%,10,0.05%,,,
45-64,"116,740",11159,955.88,305,2.73%,70,0.63%,,,
65-74,"40,633",3169,779.91,245,7.73%,110,3.47%,,,
75+,"28,440",2330,819.27,400,17.17%,280,12.02%,,,
,,,,,,,,,,
Females,242211,22452,926.96,577,2.57%,216,0.96%,,,
Males,228102,19650,861.46,543,2.76%,254,1.29%,,,
Unknown,N/A,368,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,487,431.47,11,2.26%,3,0.62%,,,
Black,41858,3083,736.54,124,4.02%,32,1.04%,,,
White,404469,31171,770.66,933,2.99%,385,1.24%,,,
Hawaiian/Pacific Islander,470,50,1063.83,4,8.00%,1,2.00%,,,
Other ,12229,1306,1067.95,18,1.38%,3,0.23%,,,
Unknown,N/A,6373,N/A,34,0.53%,46,0.72%,,,
,,,,,,,,,,
Hispanic,20694,2366,1143.33,62,2.62%,9,0.38%,,,
Non-Hispanic,449619,29736,661.36,1003,3.37%,405,1.36%,,,
Unknown,N/A,10368,N/A,59,0.57%,56,0.54%,,,
,,,,,,,,,,
Total,"470,313",42470,903.02,1124,2.65%,470,1.11%,,,
